Nombre de tubería,Descripción,Estilo de tubería,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K. inicial,Desfase inicial,P.K. final,Desfase final,Cobertura mínima,Cobertura máxima,Abscisa inicial,Ordenada inicial,Abscisa final,Ordenada final,Elevación de eje inicial,Elevación de eje final,Rasante inicial,Rasante final,Elevación de generatriz interior superior inicial,Elevación de generatriz interior superior final,Longitud 2D,Longitud 3D,Orientación,Talud,Radio horizontal,Longitud de cuerda,Abscisa de centro,Ordenada de centro,Radio vertical,Diámetro interior,Diámetro exterior,Grosor de pared,Pieza inicial,Pieza final,Conexiones,Segmentos verticales,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Pressure Pipe - (88),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.001,368144.8085,4058483.9316,368166.7304,4058504.9436,4.789,4.668,4.689,4.568,4.900,4.779,30.3656,30.3659,"46° 12' 50.863""",0.40 %,,,,,,0.2000,0.2220,0.0110,Fitting - (84),Fitting - (85),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (89),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.004,368166.7894,4058504.9970,368193.6710,4058527.9212,4.668,4.512,4.568,4.412,4.779,4.623,35.3290,35.3293,"49° 32' 34.519""",0.44 %,,,,,,0.2000,0.2220,0.0110,Fitting - (85),Fitting - (86),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (90),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.978,1.000,368193.9832,4058527.9069,368223.2048,4058497.9515,4.510,4.312,4.410,4.212,4.621,4.423,41.8476,41.8481,"135° 42' 37.412""",0.47 %,,,,,,0.2000,0.2220,0.0110,Fitting - (86),Fitting - (87),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (91),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.716,1.000,368223.2657,4058497.9003,368295.6291,4058448.3733,4.312,5.115,4.212,5.015,4.423,5.226,87.6890,87.6927,"124° 23' 18.792""",-0.92 %,,,,,,0.2000,0.2220,0.0110,Fitting - (87),Fitting - (88),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (92),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.002,1.002,368295.6947,4058448.3284,368297.5909,4058437.8903,5.114,4.590,5.014,4.490,5.225,4.701,11.7841,11.7958,"169° 42' 15.264""",4.45 %,7.5004,10.6089,368291.4255,4058442.1616,,0.2000,0.2220,0.0110,Fitting - (88),Fitting - (89),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (93),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.124,0.997,368297.5452,4058437.8251,368213.4606,4058317.8286,4.589,4.896,4.489,4.796,4.700,5.007,146.5243,146.5246,"215° 1' 11.645""",-0.21 %,,,,,,0.2000,0.2220,0.0110,Fitting - (89),Fitting - (146),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (94),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.801,1.067,368085.3919,4058135.4481,367952.5490,4058228.9113,5.364,6.052,5.264,5.952,5.475,6.163,162.4272,162.4287,"305° 7' 43.523""",-0.42 %,,,,,,0.2000,0.2220,0.0110,Fitting - (90),<Ninguno>,2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (95),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367524.6150,4057689.2042,367652.1079,4057599.8091,1.104,3.869,0.954,3.719,1.267,4.032,155.7110,155.7356,"125° 2' 14.165""",-1.78 %,,,,,,0.3000,0.3260,0.0130,Fitting - (91),Fitting - (18),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (97),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,3.043,3.051,367739.7884,4057516.9945,367739.9720,4057517.2663,3.909,3.912,3.809,3.812,4.020,4.023,0.3280,0.3281,"34° 2' 20.049""",-0.85 %,,,,,,0.2000,0.2220,0.0110,Fitting - (152),Appurtenance - (1),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (98),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.957,1.023,367773.9160,4057566.8826,367779.7580,4057572.3206,3.662,3.484,3.562,3.384,3.773,3.595,8.0381,8.0400,"47° 3' 4.362""",2.22 %,19.5000,7.9813,367789.8420,4057555.6303,,0.2000,0.2220,0.0110,Fitting - (92),Fitting - (93),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (99),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.956,1.021,367779.8262,4057572.3616,367787.3682,4057574.9728,3.484,3.622,3.384,3.522,3.595,3.733,8.0380,8.0392,"70° 54' 10.340""",-1.72 %,19.5019,7.9813,367789.8426,4057555.6285,,0.2000,0.2220,0.0110,Fitting - (93),Fitting - (94),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (100),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.884,0.997,367787.4472,4057574.9828,367802.9550,4057571.7485,3.622,3.347,3.522,3.247,3.733,3.458,16.1312,16.1335,"101° 46' 49.545""",1.71 %,24.5046,15.8415,367790.4668,4057550.6649,,0.2000,0.2220,0.0110,Fitting - (94),Fitting - (95),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (101),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.993,1.003,367803.2585,4057571.8232,367807.9842,4057579.6273,3.342,3.296,3.242,3.196,3.453,3.407,9.1234,9.1235,"31° 11' 47.424""",0.51 %,,,,,,0.2000,0.2220,0.0110,Fitting - (95),Fitting - (96),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (102),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.999,1.001,367808.2877,4057579.7018,367810.5964,4057578.3008,3.294,3.287,3.194,3.187,3.405,3.398,2.7005,2.7005,"121° 15' 5.568""",0.26 %,,,,,,0.2000,0.2220,0.0110,Fitting - (96),Fitting - (162),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (103),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.979,1.000,367836.4569,4057562.5802,367847.4050,4057560.9650,3.212,3.234,3.112,3.134,3.323,3.345,12.1955,12.1955,"98° 23' 31.472""",-0.18 %,8.0658,11.0665,367842.7874,4057567.5784,,0.2000,0.2220,0.0110,Fitting - (97),Fitting - (98),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
