Dibujo:,ABASTECIMIENTO.dwg
Ruta de dibujo:,Z:\PROYECTO 535\535.2\535.2.1 Proyecto de Urbanización\PLANOS\04_CIVIL3D\ABASTECIMIENTO.dwg
Fecha del informe:,29/04/2026
Notificado por:,USUARIO
Versión del informe:,1.0 (B)

ABASTECIMIENTO
Nombre de la red de tuberías a presión,Descripción,Lista de piezas,Tuberías,Accesorios,Elementos hidromecánicos,Tramos de tubería,Superficie de referencia por defecto,Alineación de referencia por defecto,Elevación mínima,Elevación máxima,Estilo de etiqueta de tuberías en planta,Estilo de etiqueta de accesorio en planta,Estilo de etiqueta de elemento hidromecánico en planta,Capa de tuberías en planta,Capa de accesorio en planta,Capa de elemento hidromecánico en planta,Infracciones
ABASTECIMIENTO,<Ninguno>,ESPAÑA,124,112,4,10,PROPUESTA,<Ninguno>,-1.163,8.827,<Ninguno>,<Ninguno>,<Ninguno>,C-WATR-PIPE,C-WATR-FITT,C-WATR-APPT,0

ABASTECIMIENTO
Nombre de accesorio,Descripción,Estilo de accesorio,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K.,Desfase,Abscisa,Ordenada,Elevación,Ángulo horizontal,Ángulo vertical,Conexiones,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Fitting - (92),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367773.8914,4057566.8512,3.666,6° 40' 22.156",9° 3' 46.410",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (93),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367779.7921,4057572.3411,3.480,0° 0' 0.000",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (94),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367787.4077,4057574.9778,3.626,0° 0' 0.000",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (95),Bend 90_ DN 200_ Soc [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367803.1441,4057571.6341,3.343,90° 0' 17.145",0° 39' 6.294",2,ByLayer,Bend 90_ DN 200_ Socket,0,0
Fitting - (96),Bend 90_ DN 200_ Soc [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367808.0987,4057579.8163,3.295,90° 0' 2.689",0° 8' 33.735",2,ByLayer,Bend 90_ DN 200_ Socket,0,0
Fitting - (97),Bend 22.5_ DN 200_ S [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367836.4178,4057562.6321,3.212,22° 29' 55.276",0° 14' 30.672",2,ByLayer,Bend 22.5_ DN 200_ Socket,0,0
Fitting - (98),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367847.4369,4057560.9892,3.234,11° 14' 26.569",0° 27' 34.927",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (99),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367851.3549,4057563.4557,3.269,0° 0' 0.001",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (100),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367854.8379,4057566.5060,3.273,0° 0' 0.014",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (101),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367875.5890,4057587.7784,3.268,0° 0' 0.000",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
