;;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;CAPÍTULO 4: MEZCLA BITUMINOSA EN CALIENTE;
;;4.- MEZCLAS BITUMINOSAS EN CALIENTE AC-22;;;;;;;;;;
;;4.1.- Control de los materiales constituyentes;;;;;;;;;;
;;4.1.1.- En origen o acopio;;;;;;;;;;
;;Análisis granulométrico por tamizado;UNE-EN 933-1;1;1000;tn;4255.88;tn;1;46.5;46.5;PAV007 (LM-1.03)
;;Equivalente de arena;UNE-EN 933-8;1;1000;tn;4255.88;tn;1;27;27;PAV007 (LM-1.03)
;;Azul de metileno;UNE-EN 933-9;1;1000;tn;4255.88;tn;1;86;86;PAV007 (LM-1.03)
;;Índice de lajas del árido grueso;UNE-EN 933-3;1;Tipo/Procedencia;;1;;1;35;35;PAV007 (LM-1.03)
;;Porcentaje caras de fractura árido grueso;UNE-EN 933-5;1;Tipo/Procedencia;;1;;1;27;27;PAV007 (LM-1.03)
;;Contenido en finos del árido grueso;;1;Tipo/Procedencia;;1;;1;51;51;PAV007 (LM-1.03)
;;Ensayo de Los Ángeles árido grueso;UNE-EN 1097-2;1;Tipo/Procedencia;;1;;1;49;49;PAV007 (LM-1.03)
;;Densidad relativa y absorción árido grueso;UNE-EN 1097-6;1;Tipo/Procedencia;;1;;1;53;53;PAV007 (LM-1.03)
;;Densidad relativa y absorción árido fino;UNE-EN 1097-6;1;Tipo/Procedencia;;1;;1;53;53;PAV007 (LM-1.03)
;;4.1.2.- Antes de entrada en tambor secador;;;;;;;;;;
;;Análisis granulométrico del árido combinado;UNE-EN 933-1;2;Muestras;día;0;día;2;46.5;93;PAV007 (LM-1.03)
;;Equivalente de arena;UNE-EN 933-8;2;Muestras;día;0;día;2;27;54;PAV007 (LM-1.03)
;;Azul de metileno;UNE-EN 933-9;2;Muestras;día;0;día;2;86;172;PAV007 (LM-1.03)
;;4.1.3.- A la salida del tambor secador;;;;;;;;;;
;;Análisis granulométrico del árido combinado;UNE-EN 933-1;1;Muestra;día;0;día;1;46.5;46.5;PAV007 (LM-1.03)
;;4.1.4.- A la salida del mezclador;;;;;;;;;;
;;Control de temperatura;;1;Ensayo;camión;0;camión;9;4.5;40.5;PAV007 (LM-1.03)
